BANK_CODE,BANK_NAME
9-84457,DITECH FINANCIAL  LLC MB FINANCIAL BANK  N.A. (BOLAND & FIJAS) CHASE (YEMMA)
9-12095,CITIMORTGAGE INC) (THIS ONE IS ACTUALLY A REO)
L-78678,PATELCO CREDIT UNION
OT-0140,THE BITNER FAMILY TRUST
9-11883,SUNTRUST BANK (MAYBE DOVENMUEHLE MORTGAGE  IN)
9-40189,DOVENMUEHLE MORTGAGE  IN (MAYBE PHH MORTGAGE)
L-48107,SELECT PORTFOLIO SERVICIN (LESS LIKELY WELLS FARGO HOME MORTGAGE)
9-11192,BLOCK LONGO & LAMARCA  PC
9-47489,US BANK HOME MORTGAGE (MAYBE LAW OFFICE OF NANCY SAIA)
9-64311,MIDLAND MORTGAGE
9-11109,(MAYBE HOMEWARD RESIDENTIAL)
OT-0068,(MAYBE WELLS FARGO HOME MORTGAGE) (LESS LIKELY WASHINGTON MUTUAL HOME L)
9-11958,(MAYBE BENGART & DEMARCO LLP)
L-65310,REVERSE MTG SERVICING DEPT MORTGAGE (MAYBE CELINK REVERSE MORTGAGE)
L-99084,(MAYBE DAG CAPITAL REAL ESTATE LLC)
9-12065,UNKNOWN
L-75625,LIMA ONE CAPITAL (LESS LIKELY WELLS FARGO HOME MORTGAGE)
L-75700,MR COOPER (MAYBE NATIONSTAR MORTGAGE) (LESS LIKELY PHH)
L-48103,SELECT PORTFOLIO SERVICIN (MAYBE CITIZENS ONE HOME LOANS) (LESS LIKELY CORELOGIC)
9-10530,EMPOWER FEDERAL CREDIT U
9-42579,MIDWEST LOAN SERVICES
9-12131,RESI CAP (MAYBE ISF8 MORTGAGE HOLDINGS LLC) (LESS LIKELY CALIBER HOME LOANS) (UNLIKELY CORELOGIC)
L-48100,SELECT PORTFOLIO SERVICIN (MAYBE NATIONSTAR MORTGAGE) (LESS LIKELY PHH)
OT-0186,STEUBEN TRUST COMPANY (MAYBE PRESUTTI LAW OFFICE PC)
L-42355,CARRINGTON MORTGAGE SERVI (LESS LIKELY BANK OF AMERICA)
OT-0197,MIDLAND LOAN SERVICES (MAYBE PULEO & PULEO)
9-10542,SEFCU
9-30967,FIRST BANK MORTGAGE
9-08022,BANK OF AKRON
OT-0021,(LESS LIKELY CITIZENS ONE HOME LOANS)
OT-0008,WELLS FARGO HOME MORTGAGE
9-10300,OCWEN LOAN SERVICING  LL
9-11146,WELLS FARGO HOME MORTGAGE
9-11680,SHELLPOINT MORTGAGE SERV
9-11251,BANK OF AMERICA
9-11664,(PROBABLY GMAC MORTGAGE CORPORATION) (IDK RE CORELOGIC TAX SERVICES)
9-11216,NATIONSTAR MORTGAGE LLC
L-73016,LNB BANKING
OT-0410,PEOPLE OF THE STATE OF NY
