Bank_Code,BANK NAME,NOTES,,
9-84457,ditech financial  llc,mb financial bank  n.a. (boland & Fijas),Chase (yemma),
9-12095,Citimortgage inc),(this one is actually a REO),,
L-78678,patelco credit union,,,
OT-0140,,the bitner family trust,,
9-11883,suntrust bank,(maybe dovenmuehle mortgage  in),,
9-40189,dovenmuehle mortgage  in,(maybe phh mortgage),,
L-48107,select portfolio servicin,(less likely wells fargo home mortgage),,
9-11192,,block longo & lamarca  pc,,
9-47489,us bank home mortgage,(maybe law office of nancy saia),,
9-64311,midland mortgage,,,
9-11109,,(maybe homeward residential),,
OT-0068,,(maybe wells fargo home mortgage),(less likely washington mutual home l),
9-11958,,(maybe bengart & demarco llp),,
L-65310,reverse mtg servicing dept mortgage,(maybe celink reverse mortgage),,
L-99084,,(maybe dag capital real estate llc),,
9-12065,,,,
L-75625,lima one capital,(less likely wells fargo home mortgage),,
L-75700,mr cooper,(maybe nationstar mortgage),(less likely phh),
L-48103,select portfolio servicin,(maybe citizens one home loans),(less likely corelogic),
9-10530,empower federal credit u,,,
9-42579,midwest loan services,,,
9-12131,resi cap,(maybe isf8 mortgage holdings llc),(less likely caliber home loans),(unlikely corelogic)
L-48100,select portfolio servicin,(maybe nationstar mortgage),(less likely phh),
OT-0186,steuben trust company,(maybe presutti law office pc),,
L-42355,carrington mortgage servi,(less likely bank of america),,
OT-0197,midland loan services,(maybe puleo & puleo),,
9-10542,sefcu,,,
9-30967,first bank mortgage,,,
9-08022,bank of akron,,,
OT-0021,,(less likely citizens one home loans),,
OT-0008,wells fargo home mortgage,,,
9-10300,ocwen loan servicing  ll,,,
9-11146,wells fargo home mortgage,,,
9-11680,shellpoint mortgage serv,,,
9-11251,bank of america,,,
9-11664,,(probably gmac mortgage corporation),(idk re corelogic tax services),
9-11216,nationstar mortgage llc,,,
L-73016,lnb banking,,,
OT-0410,PEOPLE OF THE STATE OF NY,,,
9-88256,sun west mortgage company inc,,,
9-11761,habitat for humanity buffalo,(maybe sn servicing corp),,
OT-0073,,,,
